user_id,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_cell,segment
18042,160,4,1934.98,4,5,5,455,Champions
72549,251,3,1731.2,4,5,5,455,Champions
51031,615,1,1656.0,2,2,5,225,At Risk
77849,111,4,1627.23,4,5,5,455,Champions
55883,406,4,1612.35,3,5,5,355,Loyal
39115,497,4,1465.7,3,5,5,355,Loyal
25545,49,4,1444.57,5,5,5,555,Champions
94728,273,4,1384.96,3,5,5,355,Loyal
38678,765,4,1382.94,2,5,5,255,At Risk
99994,201,2,1307.62,4,4,5,445,Champions
95763,561,4,1305.83,2,5,5,255,At Risk
31197,59,4,1291.32,5,5,5,555,Champions
1607,312,4,1284.12,3,5,5,355,Loyal
36244,477,3,1251.14,3,5,5,355,Loyal
94973,1058,2,1246.95,1,5,5,155,At Risk
97478,12,3,1246.1,5,5,5,555,Champions
65779,123,4,1225.37,4,5,5,455,Champions
8827,1131,3,1199.93,1,5,5,155,At Risk
46218,270,2,1193.57,4,4,5,445,Champions
86727,63,3,1191.94,5,5,5,555,Champions
2830,1805,1,1173.34,1,1,5,115,Hibernating
80342,1329,1,1170.99,1,1,5,115,Hibernating
55133,499,4,1163.26,3,5,5,355,Loyal
82432,590,3,1160.68,2,5,5,255,At Risk
39578,797,4,1160.49,2,5,5,255,At Risk
8119,24,4,1143.7,5,5,5,555,Champions
83419,266,3,1141.69,4,5,5,455,Champions
23697,427,4,1141.37,3,5,5,355,Loyal
32359,34,2,1133.73,5,5,5,555,Champions
7628,102,3,1128.48,4,5,5,455,Champions
55044,59,3,1127.94,5,5,5,555,Champions
88040,1146,2,1127.84,1,4,5,145,At Risk
54431,35,2,1118.88,5,5,5,555,Champions
76051,538,3,1116.35,3,5,5,355,Loyal
53940,604,2,1113.37,2,5,5,255,At Risk
75092,104,2,1098.42,4,4,5,445,Champions
40117,174,3,1096.32,4,5,5,455,Champions
49260,226,3,1092.43,4,5,5,455,Champions
4449,539,2,1091.5,3,5,5,355,Loyal
1178,864,2,1088.0,2,5,5,255,At Risk
9837,330,4,1085.44,3,5,5,355,Loyal
82240,64,3,1078.98,5,5,5,555,Champions
164,291,2,1078.84,3,4,5,345,Loyal
51087,1,4,1078.26,5,5,5,555,Champions
83105,125,4,1076.58,4,5,5,455,Champions
1679,138,1,1074.94,4,4,5,445,Champions
46911,863,1,1073.98,2,2,5,225,At Risk
21685,32,2,1066.73,5,5,5,555,Champions
88248,68,1,1066.0,5,3,5,535,Champions
75828,206,1,1064.09,4,4,5,445,Champions
34476,21,4,1059.53,5,5,5,555,Champions
187,138,4,1057.75,4,5,5,455,Champions
61196,27,2,1057.23,5,5,5,555,Champions
88190,441,2,1056.97,3,5,5,355,Loyal
75707,42,2,1055.83,5,5,5,555,Champions
92200,1302,2,1051.0,1,4,5,145,At Risk
70897,495,1,1045.27,3,3,5,335,Loyal
41999,777,2,1041.7,2,5,5,255,At Risk
16997,990,2,1038.88,2,5,5,255,At Risk
64836,63,2,1037.92,5,5,5,555,Champions
22887,110,4,1036.24,4,5,5,455,Champions
