product_id,product_name,product_category,product_brand,units_on_hand,unit_cost,tied_up_capital,daily_velocity,last_sale_date,oldest_unit_age_days,days_since_last_sale,days_of_supply,inventory_status
17094,The North Face Apex Bionic Soft Shell Jacket - Men's,Fashion Hoodies & Sweatshirts,The North Face,22,524.64,11542.15,0.03333333333333333,2026-04-14,2131,12,660.0,Overstock
24042,Canada Goose Men's Langford Parka,Outerwear & Coats,Canada Goose,24,300.22,7205.24,0.011111111111111112,2026-03-02,2173,55,2160.0,Overstock
10453,NIKE WOMEN'S PRO COMPRESSION SPORTS BRA *Outstanding Support and Comfort*,Intimates,Nike,14,512.0,7168.01,0.011111111111111112,2026-02-21,2087,64,1260.0,Overstock
22812,Quiksilver Men's Rockefeller Walkshort,Shorts,Quiksilver,15,472.27,7084.04,0.0,,2206,,,Dead Stock
23654,The North Face Apex Bionic Soft Shell Jacket - Men's,Outerwear & Coats,The North Face,19,363.01,6897.11,0.011111111111111112,2026-03-05,1994,52,1710.0,Overstock
23811,Arc'teryx Men's Beta AR Jacket,Outerwear & Coats,Arc'teryx,28,232.28,6503.7,0.022222222222222223,2026-04-21,2304,5,1260.0,Overstock
24428,The North Face Apex Bionic Mens Soft Shell Ski Jacket 2013,Outerwear & Coats,The North Face,15,419.9,6298.43,0.011111111111111112,2026-04-18,2161,8,1350.0,Overstock
8429,The North Face Women's S-XL Oso Jacket,Outerwear & Coats,The North Face,16,378.36,6053.71,0.03333333333333333,2026-04-14,2241,12,480.0,Overstock
24201,Mens Nike AirJordan Varsity Hoodie Jacket Grey / Black 451582-066,Outerwear & Coats,Jordan,14,409.06,5726.83,0.011111111111111112,2026-02-04,2228,81,1260.0,Overstock
23646,Diesel Men's Lophophora Leather Jacket,Outerwear & Coats,Diesel,14,408.59,5720.26,0.022222222222222223,2026-04-17,2219,9,630.0,Overstock
24314,Nobis Men's Cartel Jacket,Outerwear & Coats,Nobis,17,330.0,5610.0,0.0,,2156,,,Dead Stock
8721,Nobis Merideth Parka,Outerwear & Coats,Nobis,14,382.39,5353.53,0.011111111111111112,2026-04-19,2213,7,1260.0,Overstock
8492,Women's Jane Sheepskin B-3 Bomber Jacket,Outerwear & Coats,Overland Sheepskin Co,19,279.05,5302.04,0.0,,2163,,,Dead Stock
5213,Catherine Malandrino Women's Skinny Stretch Leather Pant,Pants & Capris,Catherine Malandrino,12,434.07,5208.9,0.0,,2235,,,Dead Stock
8300,Canada Goose Women's Expedition Parka,Outerwear & Coats,Canada Goose,13,395.91,5146.83,0.022222222222222223,2026-04-11,2206,15,585.0,Overstock
15486,NIKE WOMEN'S PRO COMPRESSION SPORTS BRA *Outstanding Support and Comfort*,Plus,Nike,12,420.8,5049.58,0.0,,1605,,,Dead Stock
24110,Woolrich Arctic Parka DF,Outerwear & Coats,Woolrich,10,478.17,4781.7,0.03333333333333333,2026-04-21,2157,5,300.0,Overstock
20823,True Religion Men's Ricky Super Jean,Jeans,True Religion,22,216.39,4760.69,0.011111111111111112,2026-04-22,2244,4,1980.0,Overstock
8319,Canada Goose Women's Mystique,Outerwear & Coats,Canada Goose,13,353.25,4592.25,0.0,,2291,,,Dead Stock
24341,Nobis Yatesy Parka,Outerwear & Coats,Nobis,12,381.9,4582.8,0.022222222222222223,2026-04-24,2281,2,540.0,Overstock
23803,Canada Goose Men's The Chateau Jacket,Outerwear & Coats,Canada Goose,12,378.16,4537.92,0.011111111111111112,2026-04-19,2239,7,1080.0,Overstock
3463,Parker Women's Open Back Dress,Dresses,Parker,24,186.63,4479.02,0.011111111111111112,2026-02-07,2042,78,2160.0,Overstock
20171,Robert Graham Men's Minstrel Dinner Jacket,Suits & Sport Coats,Robert Graham,21,209.9,4407.86,0.011111111111111112,2026-03-11,2289,46,1890.0,Overstock
24445,Rab Neutrino Endurance Down Jacket - Men's,Outerwear & Coats,RAB,31,141.7,4392.7,0.011111111111111112,2026-04-23,2285,3,2790.0,Overstock
20237,G-Star Men's CL Ruston Blazer,Suits & Sport Coats,G-Star,27,162.64,4391.28,0.022222222222222223,2026-04-12,2128,14,1215.0,Overstock
8774,Nobis Tula Parka,Outerwear & Coats,Nobis,12,364.65,4375.8,0.022222222222222223,2026-02-25,2044,60,540.0,Overstock
8390,Canada Goose Women's Solaris,Outerwear & Coats,Canada Goose,14,296.76,4154.71,0.011111111111111112,2026-01-29,2095,87,1260.0,Overstock
5332,True Religion Women's Casey Stretch Leather Pants,Pants & Capris,True Religion,12,339.16,4069.92,0.022222222222222223,2026-04-13,2236,13,540.0,Overstock
24306,Mountain Hardwear Men's Nilas Down Jacket,Outerwear & Coats,Mountain Hardwear,13,308.75,4013.75,0.011111111111111112,2026-02-24,2176,61,1170.0,Overstock
8398,The North Face Denali Down Womens Jacket 2013,Outerwear & Coats,The North Face,9,437.05,3933.47,0.0,,2180,,,Dead Stock
9795,BedHead Pajamas Women's Cashmere Robe,Sleep & Lounge,BedHead,17,229.68,3904.56,0.03333333333333333,2026-04-25,1968,1,510.0,Overstock
